"Property ID","Property Name","Room ID","Room Name","Item ID","Item Name","Purchase Date",Quantity,"Purchase Price","Current Price","Category Name","Policy ID","Policy Name","Policy Type",Brand,Model,"Serial Number",Notes,Created,Labels,Photos,PDFs
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562095,"Biljardbord i delar",,1,0.00,1000.00,Bord,,,,1880?,169x173x169x154,451,"Bordet kallas Kajsa, sliten, anv�ndning �verv�gs","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562075,"Biljardbord i ek, litet",,1,0.00,2000.00,Bord,,,,,"H 70 L 206 B 111",376,"Inkl övre delen?","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562096,"Biljardköer med stativ",,1,0.00,100.00,,,,,,,453,"Dåligt skick, flyttades av LG från vinden till källaren","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562098,Bokskåp,,2,0.00,50.00,Sk,,,,,"L 90 H 131 B 35",502,"Dåligt skick","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562086,"Bokskåp enkl m glasdörrar",,2,0.00,150.00,Sk,,,,,"L 163 H131 B35",412,,"2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562074,"Bokskåp enkla glasdörrar",,5,0.00,100.00,Sk,,,,,"H 131,5 L 110, B 34,5",359,"OBS: ett i vita rummet 4 till Kruna sommaren 2014","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562085,"Bokskåp enkla med glasdörrar",,4,0.00,100.00,Sk,,,,,"L 135 H 131 B35",408,"Ett i vita rummet","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562097,"Bokskåp hör till 411 serien",,6,0.00,100.00,Sk,,,,,"L 110 H 131 B 35",501,"5 st i kallaren, ett i Vita rummet Daligt skick","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562084,"Bokskåp, trädörrar",,2,0.00,50.00,Sk,,,,1943?,"L71 H131 B35",407,,"2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562083,"Bokskåpet enklare med glasdr",,2,0.00,150.00,Sk,,,,,"L157 H 131 B 35",406,"Ett i vita rummet!","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562088,"Bord, lätta fyrkantiga",,2,0.00,150.00,Bord,,,,,"H74 68x68",420,"Snickargruppen har renoverat dessa 2002","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562081,"Ekdörrar med lås och beslag",,2,0.00,250.00,,,,,"1980 talet","H210 B95",400,"Varifrifran ar dessa borttagna? Fragade redan Lennart.","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562082,"Eldhundar två par",,1,0.00,1000.00,,,,,,"1900 talet",404,"Utan korg, med spade+tang och 3 st spett","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562072,"Fåtölj Ottelin",,2,0.00,350.00,Stolar,,,,"1950 talet","H 84 B 65 L",309,"Liknande i kallaren, flyttade tillfalligt dit.","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562080,"Fönster med o utan glas f huset",,3,0.00,200.00,,,,,"1990 talet",,399,"Ett 170x60 utan glas obehandlad ek 2 st 77x99 gamla med glas","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562120,"Grappa skåp, två dörrar",,1,0.00,500.00,Sk,,,,"1900 talet","H 200 L 120 B 50",372,,"2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562069,Järnport,,1,0.00,1000.00,,,,,"1960 talet","h 100x102",,"Smidd Järnport i 2 delar, gåva av Torsdagsvännerna på 1960 talet, till källaren 2000.","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562077,Karmstol,,16,0.00,250.00,Stolar,,,,Stockmann/Ottelin?,"H84 B53 L59",387,"�verkl�dda med gr�nt tyg, rygg med springa Fyra trasiga","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562094,"Klädhangare med hatthylla",,1,0.00,50.00,,,,,"1980 talet","L 130 H28 B23",440,"Pa vaggen","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562070,Klubbemblem,,1,0.00,200.00,,,,,,,54,"Design och utf�rande av Henrik Rosenius","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562073,"Lampetter 2-armade ej skärmar",,4,0.00,100.00,Armatur,,,,,"H32 B33 ut21",346,"Platsen skall kollas, kanske puben?","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562076,"Länstolar Olof Ottelin",,7,0.00,500.00,Stolar,,,,"Kervo snickeri Ottelin","H95 B72 L55",386,"Overklädda helt med grönt tyg. Purchased at: Stockmann","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562093,"Litet skåp av ek",,1,0.00,200.00,Sk,,,,,"H 100 L33 B27",431,"Skapet last, kan hora till Torsdagsvannerna","2016-04-27 10:59:04",,3z4uUeVkrX9ub81tq3ckS7.jpg,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562092,"Lundin hylla",,1,0.00,50.00,Hyllor,,,,Lundia,"H 230 L 187 B 32",429,,"2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562071,"Pelarskåp (för TV)",,1,0.00,300.00,Bord,,,,,h82x50x80,154,"Mörk betsad ek","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562089,"Rest. bord m spånskiva o träben",,2,0.00,50.00,Bord,,,,,"H71 L124 B75",423,Sliten,"2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562091,"Soffbord runt mörkbets. raka ben",,1,0.00,100.00,Bord,,,,,"H61 diam 77",426,"Restaurerat 2004","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562090,"Spelbord med räfflade ben gront",,1,0.00,50.00,Bord,,,,,"H74 80x80",424,"Orenoverat, dåligt skick","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562079,"Stol barockstil grönt tyg",,1,0.00,500.00,Stolar,,,,"1800 talet","H121 B62 L63",395,"Restaurerat av snickargruppen 2002","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562078,"Stol utan armstöd, gammal modl",,1,0.00,150.00,Stolar,,,,"1800 talet","H 90 B 40 L42",393,"Möjl omklädd med med lederimitation","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190961,"0/5 Stora K",Item562087,"Stor soffa Ottelin grönt ovantåg",,1,0.00,350.00,Soffor,,,,"Kervo snickeri","H78 L190 B70",417,"Purchased at: Stockmann","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562108,"Bokskåp enkla m glasdörr",,1,0.00,150.00,Sk,,,,,"H 131 L 157 B 35",411,,"2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562114,"Bordslampa i stil med nr 61i bibl",,1,0.00,130.00,Armatur,,,,,,455,,"2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562113,"Bordslampa med svarv träfot, skarm",,2,0.00,100.00,Armatur,,,,"1960 talet","H90 B60",454,,"2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562102,"Färgtryck med biblisk motiv",,1,0.00,50.00,Other,,,,"T Avellan 1969","H 100 B 71",363,"Guld ram","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562112,"Foto i guldram 5 men i soffa på kl",,1,0.00,50.00,,,,,,L40x31,446,"Historisk foto av kanda klubbmedlemmar, 4st andra onumrerade foton flyttades samtidigt 26.1.2010 till Vita rummet","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562104,"Foto, Senator Fredrik Stjernvall",,1,0.00,50.00,Prydnadsf,,,,,"H 60 B 52",367,"(1845-1916) porträtt","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562116,"Gröna lampkupor",,3,0.00,40.00,,,,,,,461,"Hör till taklampan, reserv.","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562115,"Historisk plan över Stockholm",,1,0.00,30.00,,,,,,,460,"Hampspinnare lämnat 2002, väntar event inramning, sliten","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562107,"Karmstol i ek",,1,0.00,250.00,Stolar,,,,"1800 talet?","H110 B60 L50",394,,"2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562106,"Kassaapparat antik med vev etc.",,1,0.00,500.00,,,,,"National 1604569","H71 L87 B52",385,"Väntar på vettigt användning!","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562118,"Lampa, ampell i Jugendstil",,1,0.00,500.00,Armatur,,,,"1900 talet","H 83 B 24",474,"Upph�ngd i kedja, en lampa i glassk�len, Finns ej, s�ger Lennart. Purchased at: Galleria Helsingfors","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562099,"Lampett likn. oljelykta på träskjöld",,1,0.00,150.00,Armatur,,,,"1980 talet","H 50 X B 29",214,,"2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562117,"Lampkupor av glas",,1,0.00,50.00,,,,,,,462,"Reserv till kronan i Pimpinellan, 2 hittades fr vinden 2.2.2004, en till Pimp sept 2004","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562109,"Lundia hylla",,1,0.00,20.00,Hyllor,,,,,"H78 L83 B25",419,,"2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562119,"Reservtyg för röda soffa i TV rummet",,1,0.00,20.00,,,,,,,534,"En till tygrulle, gront tyg finns ocksa","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562110,Skrivbord,,1,0.00,100.00,Bord,,,,"Billnas typ",,428,Sliten,"2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562111,"Skrivbordsstol, 3 ben halvrund",,1,0.00,1500.00,Stolar,,,,"1930 talet?","H79 B54 L48",432,"M�rkbetsat tr�, Morelius tror att en Saarinen design , sliten","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562105,"Skrivmaskin Lettera",,1,0.00,100.00,,,,,"1960 ?",,371,"Med v�ska, har varit bibliotekets rekvisita","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562100,"Torsdagsvännernas stadgetavla",,1,0.00,10.00,,,,,,H32x23,302,"Maskinskriven text inramad, till klubben dec 2007.","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562101,"Tosdagsvännernas dikt 13.3.1942",,1,0.00,40.00,,,,,1942,A4,303,"Dikt skriven med blyerts event av Bertel Jung, antagligen ov?rdeligt! Vi sitta pa klubben och njuta trots sv?lt/ av samvarons harliga stammning/ ty rusande parlor i glasen man hallt/ och vi har dem tomt som om livet det gallt/ fouyan all ...","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190962,"0/6 Vita Rummet",Item562103,"Tryck Pres Svinhuvud, stor ram",,1,0.00,50.00,Konst,,,,"1935 Otavan syvpaino","H 38,5 B 29",364,"D�ligt skick","2016-04-27 10:59:04",,,
Property67312,"Svenska Klubben i Helsingfors",Room190964,"1 Kruna",Item562123,Bardisk,,1,0.00,4000.00,,,,,,"H 115 L 400",550,"Koptes av Hampspinnare 2014","2016-04-27 10:59:04",,,
